feature,importance
sttl,0.17365997955036583
ct_state_ttl,0.10372466049444913
dload,0.08163176310438833
dttl,0.04625227872046121
tcprtt,0.04567499075673478
rate,0.043480455890579896
dmean,0.04168944303009524
dbytes,0.03600865259751183
sbytes,0.03463688722767291
sload,0.034266424436319554
dinpkt,0.03205654066736993
smean,0.028143974937467463
sinpkt,0.027866478083393965
ct_srv_dst,0.027847951075696608
ackdat,0.02584455578592366
ct_dst_src_ltm,0.02264352272949987
dur,0.02121350187277331
ct_srv_src,0.02077826809526941
synack,0.02064447071259159
dpkts,0.014820829940338584
sjit,0.012905712549164955
djit,0.011054261968970044
sloss,0.010355705224969178
dloss,0.009076860373543365
ct_dst_ltm,0.008960963883029024
spkts,0.008925754095993207
ct_dst_sport_ltm,0.008776019932762157
stcpb,0.008469919680607152
ct_src_ltm,0.008383513385621263
dtcpb,0.007900816766041678
ct_src_dport_ltm,0.0060493683460583585
swin,0.005883956427184382
is_sm_ips_ports,0.0048319817032626755
ct_flw_http_mthd,0.0018862221879965139
trans_depth,0.001834928064120522
response_body_len,0.0013854354918831982
dwin,0.00022545021220283108
ct_ftp_cmd,0.00011224150501059206
is_ftp_login,9.525849267594109e-05
